region,species_name,cuid,total_spawning_weight,cumulative_lopct,cumulative_modpct,cumulative_hipct,cumulative_defpct,cumulative_modhipct,harvest_lopct,harvest_modpct,harvest_hipct,harvest_defpct,fire_lopct,fire_modpct,fire_hipct,fire_defpct,insect_lopct,insect_modpct,insect_hipct,insect_defpct,agriculture_lopct,agriculture_modpct,agriculture_hipct,agriculture_defpct,urbnindstrl_lopct,urbnindstrl_modpct,urbnindstrl_hipct,urbnindstrl_defpct,roads_lopct,roads_modpct,roads_hipct,roads_defpct,mining_lopct,mining_modpct,mining_hipct,mining_defpct,dataset_version
Central Coast,Chinook,509,148.43285696655147,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Chinook,510,2976.485935,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Chinook,511,34.38537652702391,55.28339675762255,0,44.71660324237745,0,44.71660324237745,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,55.28339675762255,0,44.71660324237745,0,20251217
Central Coast,Chinook,512,2032.0911064138356,73.94241358685052,18.42391026576738,7.633676147382131,0,26.057586413149508,100,0,0,0,88.63731245339841,3.729011399219485,7.633676147382131,0,100,0,0,0,100,0,0,0,100,0,0,0,88.53852505,11.461474948894312,0,0,93.53904878,6.460951216125589,0,0,20251217
Central Coast,Chinook,513,1104.4333618035096,21.77181396321948,18.71014927700759,59.51803675977293,0,78.22818603678053,100,0,0,0,53.80318006609804,16.30904625453539,29.887773679366557,0,43.911918709479664,14.695738753230572,41.392342537289764,0,100,0,0,0,100,0,0,0,92.539354,5.001567090629041,2.459078911895237,0,100,0,0,0,20251217
Central Coast,Chinook,514,1448.6268070988358,95.96940029398034,4.030599706019658,0,0,4.030599706019658,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,95.96940029398034,4.030599706019658,0,0,20251217
Central Coast,Chinook,515,5191.369736687059,85.47837027037588,6.505082046239856,8.016547683384314,0,14.52162972962417,95.52390487822073,4.028870186643222,0.44722493513605405,0,100,0,0,0,100,0,0,0,100,0,0,0,98.23381669,1.7661833105759992,0,0,89.70129052219525,3.4077100918049856,6.890999385999806,0,93.28531487,4.013339295901501,2.701345833087928,0,20251217
Central Coast,Chum,500,882.9746846207021,97.18975749644649,0,2.8102425035535084,0,2.8102425035535084,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,97.18975749644649,0,2.8102425035535084,0,100,0,0,0,20251217
Central Coast,Chum,501,1342.5281161446517,96.82278966631742,3.1772103336825923,0,0,3.1772103336825923,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,96.82278966631742,3.1772103336825923,0,0,100,0,0,0,20251217
Central Coast,Chum,502,34.38537652702391,55.28339675762255,0,44.71660324237745,0,44.71660324237745,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,55.28339675762255,0,44.71660324237745,0,20251217
Central Coast,Chum,503,2815.1191712956174,88.66947483037559,8.501300048091084,2.8292251215333315,0,11.330525169624416,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,95.72689014052416,1.443884737942522,2.8292251215333315,0,92.94258468985144,7.057415310148563,0,0,20251217
Central Coast,Chum,504,2089.755700146332,87.84162569723316,12.158374302766846,0,0,12.158374302766846,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,95.11925596828084,4.880744031719179,0,0,89.58390262560933,10.416097374390693,0,0,20251217
Central Coast,Chum,505,248.30181107720014,47.123859273098816,52.87614072690118,0,0,52.87614072690118,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,73.58605847263162,26.413941527368383,0,0,47.123859273098816,52.87614072690118,0,0,20251217
Central Coast,Chum,506,5860.781913329584,93.84284014991226,6.157159850087729,0,0,6.157159850087729,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,97.88776760444523,2.112232395554773,0,0,95.95507254546703,4.0449274545329565,0,0,20251217
Central Coast,Chum,507,983.8415602031663,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Chum,508,6425.439580925614,89.84597563,4.03846565,6.115558717433661,0,10.15402436717332,97.78210430803453,2.217895691965481,0,0,100,0,0,0,100,0,0,0,100,0,0,0,98.57302983360319,1.4269701663967995,0,0,93.07778119121579,1.716035597046285,5.206183211737934,0,94.75499789507722,3.062476718200822,2.182525386721975,0,20251217
Central Coast,Coho,516,718.5097990009501,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Coho,517,2207.7030110063038,96.11341220657233,1.9320960213438925,1.954491772083779,0,3.8865877934276716,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,96.80988144715094,1.9320960213438925,1.258022531505162,0,99.30353075942139,0,0.6964692405786171,0,20251217
Central Coast,Coho,518,1181.5367714581873,79.39305306800487,20.60694693199511,0,0,20.60694693199511,100,0,0,0,93.58658055921715,6.413419440782837,0,0,100,0,0,0,100,0,0,0,100,0,0,0,91.36754529556231,8.632454704437686,0,0,88.88799585216542,11.112004147834588,0,0,20251217
Central Coast,Coho,519,740.7069822703158,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Coho,520,8305.080391530599,89.03926182,10.482559745043698,0.4781784386747718,0,10.960738183718469,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,97.24852937071218,2.2732921906130574,0.4781784386747718,0,91.79073244556933,8.209267554430642,0,0,20251217
Central Coast,Coho,522,2287.4131258678917,77.15128199,4.654862884,18.193855130755964,0,22.848718014535034,92.75484407610519,6.230162188,1.0149937357189203,0,100,0,0,0,100,0,0,0,100,0,0,0,95.99158084550771,4.0084191544923184,0,0,79.54020277915907,4.820416095,15.639381125976188,0,91.95592551850315,1.9132689669060337,6.130805514590848,0,20251217
Central Coast,Coho,523,5728.919508447114,97.32910847324474,2.6708915267552373,0,0,2.6708915267552373,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,97.32910847324474,2.6708915267552373,0,0,20251217
Central Coast,Pink,608,7872.083663252222,89.43204459979441,9.556202195,1.011753205408542,0,10.567955400205573,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,96.04806353556444,2.9401832590270294,1.011753205408542,0,93.38398106,6.616018935770001,0,0,20251217
Central Coast,Pink,609,12681.999463810871,91.15175818842752,4.958000647911915,3.890241163660567,0,8.848241811572482,98.69321357,1.123715137,0.18307128938006462,0,98.91505538892014,0.5975154723585419,0.487429139,0,100,0,0,0,100,0,0,0,99.27701380100746,0.7229861989925362,0,0,95.50547438994614,1.673698675776526,2.8208269342773407,0,95.19406526,3.578897770361674,1.2270369739505544,0,20251217
Central Coast,Pink,610,1718.7907378493107,66.92615332840427,29.85277749454353,3.221069177052175,0,33.07384667,95.81693403037602,4.183065969623978,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,69.89745074541793,26.88148007752986,3.221069177052175,0,97.02870258298631,2.9712974170136635,0,0,20251217
Central Coast,Pink,611,7968.366970996892,89.55973923355481,9.440732769237076,0.9995279972080946,0,10.44026076644517,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,96.09581554249101,2.9046564603008895,0.9995279972080946,0,93.46392369,6.536076308936186,0,0,20251217
Central Coast,Pink,612,8758.636684524017,91.31128511,3.93719196,4.7515229293349455,0,8.688714889069495,98.10784881754951,1.6270745412582281,0.26507664119228347,0,100,0,0,0,100,0,0,0,100,0,0,0,98.95315779,1.0468422105196937,0,0,94.65670167615927,1.2589040332065944,4.084394290634125,0,95.17767861040089,3.2211949230797803,1.601126466519312,0,20251217
Central Coast,Sockeye,524,368.46076769760975,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,525,3819.083448,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,527,3819.083448,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,528,1370.8909614182448,63.29578373392991,25.38870989473149,11.315506371338609,0,36.70421627,100,0,0,0,75.06185121137057,13.622642417290844,11.315506371338609,0,100,0,0,0,100,0,0,0,100,0,0,0,88.23393252255934,11.76606747744065,0,0,100,0,0,0,20251217
Central Coast,Sockeye,529,191.75082297778005,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,530,45.284557614768545,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,532,122.97055336598056,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,533,21.32780784758796,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,534,70.32664398469853,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,535,68.31721865737545,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,536,106.70344830561541,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,537,75.47221996,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,538,863.1390751903359,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,539,42.73051344855677,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,540,100.57300976484181,25.351362544525696,74.64863746,0,0,74.64863746,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,25.351362544525696,74.64863746,0,0,20251217
Central Coast,Sockeye,541,41.636007091965375,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,542,47.97830238824947,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,543,29.283902275780243,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,544,72.64953379,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,545,76.02688159212012,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,546,167.97382630099196,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,547,48.05706721138054,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,548,32.719624017538024,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,549,34.86919194515288,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,550,62.19928629434464,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,551,98.77111875,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,552,32.24024997109601,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
Central Coast,Sockeye,553,61.912797939089316,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,20251217
